texto;classe
A torcida do São Paulo às vezes queima jogadores, mas a do Corinthians é especializada em queimar ídolos e jogar os cara no lixo depois de fazer MUITO pelo clube. Carrile saindo pela porta do fundo, assim como Guerrero e até o Tite quando largou no meio da temporada pela seleção.;negativo
Há 2 anos lembro de seleção p/ professor voluntário de disciplina introdutória na UnB. Achei um absurdo, serviço voluntário faço pra causa/instituição q realmente não pode contratar. Mas tem quem acredite q ser precarizado aumenta as chances na academia... ;negativo
tava pensando em comprar uma camisa da seleção por site chinês mas n vai chegar a tempo que pena n to afim de pagar 300 reais numa camisa;negativo
Teve aquele pisão no Cristiano Ronaldo aos 2 minutos de jogo da final do Mundial. Mas acho que não conta. ;negativo
cade o neymar da minha bruna;negativo
@globoesportecom Esse guri joga nada, só flamenguistas memo que compara esse lixo com o Neymar. A joia do flamengo è o paquetá.;negativo
Eu não sei vocês Mas eu já quero a copa porque aí não vai ter trabalho/aula;negativo
#bbdebate o que!! Continuar na seleção?! 4 anos sem a menor preocupação em perder o emprego?! Só um louco não ficaria. O vida mansa;negativo
RECORDANDO 2014 7X1 .NA OPINIÃO NÃO EXISTE GOL DE HONRA ..........................NÃO DEVEMOS COLOCAR SÓ PRESSÃO EM UM GAROTO SE É SELEÇÃO TEM QUER TODOS CONTRA O OUTRO TERRITÓRIO.....VAI NEYMAR10 TMJ É DEZ E JÁ ERA ....TEM ESSA DE GOL DE HONRA NAÕ PPOIS O NOOSOO PAÍS É GLOŔIOOSO;negativo
@dealuppi_ @lobaoeletrico Então quando ele fala da camisa amarela da cbf, ele está falando da cbf, da fifa e do governo do pt que juntos propuseram uma copa com 12 estádios que nenhum time consegue pagar? E onde todos os presidentes dessas entidades mais os das empreiteiras estão presos? Ah tá rsrsese;negativo
Fico triste pelo santa, o clube n aguentará ficar 5 meses parado sem receita... os custos de manutenção do arruda sao altos... a copa do nordeste era a ultima esperança para eles;negativo
Não tem jeito, a gente vai ter q explodir a FIFA, o CAS e a WADA;negativo
Até o Muralha já foi convocado, o problema que na seleção não existe coerência. ;negativo
@Lolli_Rio @RCSaraiva @FoxSportsBrasil FIFA deveria se preocupar é em casos sérios aos quais seus dirigentes estão sendo processados!!! Isso sim...;negativo
Mas isso acontece como? Marco um golo e vem tudo? (N duvido pq fifa e cheio de bugs) ou qnd somos campeões?;negativo
Agora a discussão é Cristiano Ronaldo x Messi, já fico estressado;negativo
o Ryan perdeu de 1x0 pra mim no FIFA KKKKKKKK;negativo
Fifa encerra investigação sobre doping na seleção da Rússia antes da Copa ;negativo
sem shakira sem copa ;negativo
@Encanadorchapad Pena que o PES é pior que o fifa. :/;negativo
Situação ficou tão crítica. Nem a copa está animando os brasileiros!! ;negativo
Presidente da Fifa diz que não pode reverter situação de Guerrero  via @FlamengoResenha;negativo
Que a Fifa não iria liberar eu ja sabia, ali não tem justiça de nada...... Mas e o @Flamengo vai ficar de braços cruzados ou vai liberar a grana e contratar um novo centroavante?;negativo
Pelo jeito o projeto Copa na casa da sogra não vai dar certo né? — Não depende só de mim né? ;negativo
@MYPESBRASIL @GalvaniRenan Vc não entendeu ainda. Ele falou VISIBILIDADE porque o FIFA vende em média 7 vezes mais que o PES. Então são mais pessoas consumindo o jogo é uma maior VISIBILIDADE ao redor do mundo.;negativo
"Hoje é o último jogo do Martin Silva antes da copa do mundo, nosso goleiro uraguio vai se apresentar à Seleção do Uruguai. O goleiro só volta atuar pelo Vasco no dia 18 de julho, no jogo contra o Fluminense.




 Boa sorte, Martin!🇺🇾⚽️ ";negativo
"Ai gente, e o povo associando a falta de interesse pela copa, ao ""golpe"" de 2016? Parem de meter a porra da politica em tudo. E sobre a copa? Talvez o brasileiro enfim tenha acordado, e percebido, que nem no futebol existe 100% honestidade. E ai sim, falaremos sobre politica.";negativo
Os caras pararam o CRISTIANO RONALDO não merecem ir pra Copa. Quem merece é Gil, Rodrigo Caio, Otamendi, Fazio...;negativo
não quis agora tchau vou jogar meu fifa e ver série;negativo
Sergio Romero sofre lesão no joelho e está fora da Copa. Guzmán é convocado ;negativo
só eu que não consigo tirar a figurinha do Cristiano Ronaldo;negativo
