texto;classe
@EsdrasNeto02 @EuclidesFla Infelizmente é exatamente isso, no caso a decisão é do TAS q é o tribunal superior, a FIFA não vai comprar essa briga, isso significaria romper relações com a WADA e o COI, ela não fará isso;negativo
@caniszinho @RenovaMidia Maior idiotice desses caras, qual a relação de gostar de Copa do Mundo e futebol com corrupção no país? Eu tento entender esses leites com pera, revolucionários de internet e não consigo!;negativo
to chamando meu irmão pra jogar fifa ele ta dizendo q não pq eu não sei jogar hahaha se eu ganhar dele juro q dou uns murro na cara dele sério;negativo
Vá já ngm joga fifa, deixem disso ;negativo
@carloscereto Creio que está menos dependente do que na copa de 2014 e na época do Dunga, a seleção hj tem um esquema de jogo, conjunto e pode sim funcionar sem o Neymar.;negativo
@UllyStela Kkkkkk o resultado sai no dia da abertura da copa, EU NAO TO DIZENDO QUE É UM FILMEEEEEEE;negativo
@premierlgbrasil O curioso é que o Cristiano Ronaldo se tornou o que muitos esperavam do Quaresma. Mas floppou no Barça, Chelsea e Inter.;negativo
@globoesportecom Alguém tinha dúvida que seria assim? O presidente da @fifacom_pt simplesmente lavou as mãos. É vdd que a punição não partiu da FIFA mas também não houve o menor sinal de esforço para, pelo menos, tentar...enfim, uma pena.;negativo
Isso aí é o legado da Copa que a FIFA, a CBF e o PT deixaram pro povo brasileiro pagar ;negativo
"@dasslermarques Espero quem mentiu pedir desculpa

Messi tá no Vasco, com Neymar
Minas importou do Rio, a maré
Beijei o beijoqueiro na televisão
Barato é o marido da barata
Amazônia preza a sua mata
Pega na mentira
Pega na mentira
Corta o rabo dela
Pisa em cima
Bate nela
Pega na mentira...";negativo
@Hortencia é um absurdo o que essas gurias erram de lance livre, na seleção é a mesma coisa. Cada erro eu lembro do q vc diz, q lance livre é um presente da regra... Isso é falta de treinar ou é ruindade mesmo? #LBFNoSporTV #Campinas;negativo
Contratei o Aguero no porto no fifa mas já em 2022, o gajo já estava com uns 33 anos;negativo
To q nem Neymar Tds os dias ;negativo
Tô sem estrutura para esse comercial da Bruna e do Neymar;negativo
Acharam mesmo q a FIFA iria mudar algo?;negativo
"FORA DA COPA

A Argentina perdeu seu goleiro titular, Sergio Romero do Manchester United acabou lesionando o seu joelho direito e está fora da Copa do Mundo 2018. ";negativo
@AlvaroPenerotti Bruna pessíma na novela não tá vivendo uma boa fase a não ser do lado do Neymar e a Marina com varias campanhas publicitarias tá gerando contéudo;negativo
Carvajal e Cristiano podem ser titulares neste último jogo do campeonato para pegar ritmo antes da final em Kiev. Ronaldo mal perdeu o ritmo porque está apenas uma semana fora, mas o espanhol não compete desde 25 de abril, então precisa competir novamente.;negativo
@Val_Ce1 Seleção é mais corrupta que os políticos de Brasília. Boicote total.;negativo
